AC00	1100 1161
CD91	110E 116D 11C0
CD92	110E 116D 11C1
CD93	110E 116D 11C2
CD94	110E 116E
CD95	110E 116E 11A8
CD96	110E 116E 11A9
CD97	110E 116E 11AA
CD98	110E 116E 11AB
CD99	110E 116E 11AC
CD9A	110E 116E 11AD
CD9B	110E 116E 11AE
CD9C	110E 116E 11AF
CD9D	110E 116E 11B0
CD9E	110E 116E 11B1
CD9F	110E 116E 11B2
CDA0	110E 116E 11B3
CDA1	110E 116E 11B4
CDA2	110E 116E 11B5
CDA3	110E 116E 11B6
CDA4	110E 116E 11B7
CDA5	110E 116E 11B8
CDA6	110E 116E 11B9
CDA7	110E 116E 11BA
CDA8	110E 116E 11BB
CDA9	110E 116E 11BC
CDAA	110E 116E 11BD
CDAB	110E 116E 11BE
CDAC	110E 116E 11BF
CDAD	110E 116E 11C0
CDAE	110E 116E 11C1
CDAF	110E 116E 11C2
CDB0	110E 116F
CDB1	110E 116F 11A8
CDB2	110E 116F 11A9
CDB3	110E 116F 11AA
CDB4	110E 116F 11AB
CDB5	110E 116F 11AC
CDB6	110E 116F 11AD
CDB7	110E 116F 11AE
CDB8	110E 116F 11AF
CDB9	110E 116F 11B0
CDBA	110E 116F 11B1
CDBB	110E 116F 11B2
CDBC	110E 116F 11B3
CDBD	110E 116F 11B4
CDBE	110E 116F 11B5
CDBF	110E 116F 11B6
CDC0	110E 116F 11B7
CDC1	110E 116F 11B8
CDC2	110E 116F 11B9
CDC3	110E 116F 11BA
CDC4	110E 116F 11BB
CDC5	110E 116F 11BC
CDC6	110E 116F 11BD
CDC7	110E 116F 11BE
CDC8	110E 116F 11BF
CDC9	110E 116F 11C0
CDCA	110E 116F 11C1
CDCB	110E 116F 11C2
CDCC	110E 1170
CDCD	110E 1170 11A8
CDCE	110E 1170 11A9
CDCF	110E 1170 11AA
CDD0	110E 1170 11AB
CDD1	110E 1170 11AC
CDD2	110E 1170 11AD
CDD3	110E 1170 11AE
CDD4	110E 1170 11AF
CDD5	110E 1170 11B0
CDD6	110E 1170 11B1
CDD7	110E 1170 11B2
CDD8	110E 1170 11B3
CDD9	110E 1170 11B4
CDDA	110E 1170 11B5
CDDB	110E 1170 11B6
CDDC	110E 1170 11B7
CDDD	110E 1170 11B8
CDDE	110E 1170 11B9
CDDF	110E 1170 11BA
CDE0	110E 1170 11BB
CDE1	110E 1170 11BC
CDE2	110E 1170 11BD
CDE3	110E 1170 11BE
CDE4	110E 1170 11BF
CDE5	110E 1170 11C0
CDE6	110E 1170 11C1
CDE7	110E 1170 11C2
CDE8	110E 1171
CDE9	110E 1171 11A8
CDEA	110E 1171 11A9
CDEB	110E 1171 11AA
CDEC	110E 1171 11AB
CDED	110E 1171 11AC
CDEE	110E 1171 11AD
CDEF	110E 1171 11AE
CDF0	110E 1171 11AF
CDF1	110E 1171 11B0
CDF2	110E 1171 11B1
CDF3	110E 1171 11B2
CDF4	110E 1171 11B3
CDF5	110E 1171 11B4
CDF6	110E 1171 11B5
CDF7	110E 1171 11B6
CDF8	110E 1171 11B7
CDF9	110E 1171 11B8
CDFA	110E 1171 11B9
CDFB	110E 1171 11BA
CDFC	110E 1171 11BB
CDFD	110E 1171 11BC
CDFE	110E 1171 11BD
CDFF	110E 1171 11BE
CE00	110E 1171 11BF
CE01	110E 1171 11C0
CE02	110E 1171 11C1
CE03	110E 1171 11C2
CE04	110E 1172
CE05	110E 1172 11A8
CE06	110E 1172 11A9
CE07	110E 1172 11AA
CE08	110E 1172 11AB
CE09	110E 1172 11AC
CE0A	110E 1172 11AD
CE0B	110E 1172 11AE
CE0C	110E 1172 11AF
CE0D	110E 1172 11B0
CE0E	110E 1172 11B1
CE0F	110E 1172 11B2
CE10	110E 1172 11B3
CE11	110E 1172 11B4
CE12	110E 1172 11B5
CE13	110E 1172 11B6
CE14	110E 1172 11B7
CE15	110E 1172 11B8
CE16	110E 1172 11B9
CE17	110E 1172 11BA
CE18	110E 1172 11BB
CE19	110E 1172 11BC
CE1A	110E 1172 11BD
CE1B	110E 1172 11BE
CE1C	110E 1172 11BF
CE1D	110E 1172 11C0
CE1E	110E 1172 11C1
CE1F	110E 1172 11C2
CE20	110E 1173
CE21	110E 1173 11A8
CE22	110E 1173 11A9
CE23	110E 1173 11AA
CE24	110E 1173 11AB
CE25	110E 1173 11AC
CE26	110E 1173 11AD
CE27	110E 1173 11AE
CE28	110E 1173 11AF
CE29	110E 1173 11B0
CE2A	110E 1173 11B1
CE2B	110E 1173 11B2
CE2C	110E 1173 11B3
CE2D	110E 1173 11B4
CE2E	110E 1173 11B5
CE2F	110E 1173 11B6
CE30	110E 1173 11B7
CE31	110E 1173 11B8
CE32	110E 1173 11B9
CE33	110E 1173 11BA
CE34	110E 1173 11BB
CE35	110E 1173 11BC
CE36	110E 1173 11BD
CE37	110E 1173 11BE
CE38	110E 1173 11BF
CE39	110E 1173 11C0
CE3A	110E 1173 11C1
CE3B	110E 1173 11C2
CE3C	110E 1174
CE3D	110E 1174 11A8
CE3E	110E 1174 11A9
CE3F	110E 1174 11AA
CE40	110E 1174 11AB
CE41	110E 1174 11AC
CE42	110E 1174 11AD
CE43	110E 1174 11AE
CE44	110E 1174 11AF
CE45	110E 1174 11B0
CE46	110E 1174 11B1
CE47	110E 1174 11B2
CE48	110E 1174 11B3
CE49	110E 1174 11B4
CE4A	110E 1174 11B5
CE4B	110E 1174 11B6
CE4C	110E 1174 11B7
CE4D	110E 1174 11B8
CE4E	110E 1174 11B9
CE4F	110E 1174 11BA
CE50	110E 1174 11BB
CE51	110E 1174 11BC
CE52	110E 1174 11BD
CE53	110E 1174 11BE
CE54	110E 1174 11BF
CE55	110E 1174 11C0
CE56	110E 1174 11C1
CE57	110E 1174 11C2
CE58	110E 1175
CE59	110E 1175 11A8
CE5A	110E 1175 11A9
CE5B	110E 1175 11AA
CE5C	110E 1175 11AB
CE5D	110E 1175 11AC
CE5E	110E 1175 11AD
CE5F	110E 1175 11AE
CE60	110E 1175 11AF
CE61	110E 1175 11B0
CE62	110E 1175 11B1
CE63	110E 1175 11B2
CE64	110E 1175 11B3
CE65	110E 1175 11B4
CE66	110E 1175 11B5
CE67	110E 1175 11B6
CE68	110E 1175 11B7
CE69	110E 1175 11B8
CE6A	110E 1175 11B9
CE6B	110E 1175 11BA
CE6C	110E 1175 11BB
CE6D	110E 1175 11BC
CE6E	110E 1175 11BD
CE6F	110E 1175 11BE
CE70	110E 1175 11BF
CE71	110E 1175 11C0
CE72	110E 1175 11C1
CE73	110E 1175 11C2
CE74	110F 1161
CE75	110F 1161 11A8
CE76	110F 1161 11A9
CE77	110F 1161 11AA
CE78	110F 1161 11AB
CE79	110F 1161 11AC
CE7A	110F 1161 11AD
CE7B	110F 1161 11AE
CE7C	110F 1161 11AF
CE7D	110F 1161 11B0
CE7E	110F 1161 11B1
CE7F	110F 1161 11B2
CE80	110F 1161 11B3
CE81	110F 1161 11B4
CE82	110F 1161 11B5
CE83	110F 1161 11B6
CE84	110F 1161 11B7
CE85	110F 1161 11B8
CE86	110F 1161 11B9
CE87	110F 1161 11BA
CE88	110F 1161 11BB
CE89	110F 1161 11BC
CE8A	110F 1161 11BD
CE8B	110F 1161 11BE
CE8C	110F 1161 11BF
CE8D	110F 1161 11C0
CE8E	110F 1161 11C1
CE8F	110F 1161 11C2
CE90	110F 1162
CE91	110F 1162 11A8
CE92	110F 1162 11A9
CE93	110F 1162 11AA
CE94	110F 1162 11AB
CE95	110F 1162 11AC
CE96	110F 1162 11AD
CE97	110F 1162 11AE
CE98	110F 1162 11AF
CE99	110F 1162 11B0
CE9A	110F 1162 11B1
CE9B	110F 1162 11B2
CE9C	110F 1162 11B3
CE9D	110F 1162 11B4
CE9E	110F 1162 11B5
CE9F	110F 1162 11B6
CEA0	110F 1162 11B7
CEA1	110F 1162 11B8
CEA2	110F 1162 11B9
CEA3	110F 1162 11BA
CEA4	110F 1162 11BB
CEA5	110F 1162 11BC
CEA6	110F 1162 11BD
CEA7	110F 1162 11BE
CEA8	110F 1162 11BF
CEA9	110F 1162 11C0
CEAA	110F 1162 11C1
CEAB	110F 1162 11C2
CEAC	110F 1163
CEAD	110F 1163 11A8
CEAE	110F 1163 11A9
CEAF	110F 1163 11AA
CEB0	110F 1163 11AB
CEB1	110F 1163 11AC
CEB2	110F 1163 11AD
CEB3	110F 1163 11AE
CEB4	110F 1163 11AF
CEB5	110F 1163 11B0
CEB6	110F 1163 11B1
CEB7	110F 1163 11B2
CEB8	110F 1163 11B3
CEB9	110F 1163 11B4
CEBA	110F 1163 11B5
CEBB	110F 1163 11B6
CEBC	110F 1163 11B7
CEBD	110F 1163 11B8
CEBE	110F 1163 11B9
CEBF	110F 1163 11BA
CEC0	110F 1163 11BB
CEC1	110F 1163 11BC
CEC2	110F 1163 11BD
CEC3	110F 1163 11BE
CEC4	110F 1163 11BF
CEC5	110F 1163 11C0
CEC6	110F 1163 11C1
CEC7	110F 1163 11C2
CEC8	110F 1164
CEC9	110F 1164 11A8
CECA	110F 1164 11A9
CECB	110F 1164 11AA
CECC	110F 1164 11AB
CECD	110F 1164 11AC
CECE	110F 1164 11AD
CECF	110F 1164 11AE
CED0	110F 1164 11AF
CED1	110F 1164 11B0
CED2	110F 1164 11B1
CED3	110F 1164 11B2
CED4	110F 1164 11B3
CED5	110F 1164 11B4
CED6	110F 1164 11B5
CED7	110F 1164 11B6
CED8	110F 1164 11B7
CED9	110F 1164 11B8
CEDA	110F 1164 11B9
CEDB	110F 1164 11BA
CEDC	110F 1164 11BB
CEDD	110F 1164 11BC
CEDE	110F 1164 11BD
CEDF	110F 1164 11BE
CEE0	110F 1164 11BF
CEE1	110F 1164 11C0
CEE2	110F 1164 11C1
CEE3	110F 1164 11C2
CEE4	110F 1165
CEE5	110F 1165 11A8
CEE6	110F 1165 11A9
CEE7	110F 1165 11AA
CEE8	110F 1165 11AB
CEE9	110F 1165 11AC
CEEA	110F 1165 11AD
CEEB	110F 1165 11AE
CEEC	110F 1165 11AF
CEED	110F 1165 11B0
CEEE	110F 1165 11B1
CEEF	110F 1165 11B2
CEF0	110F 1165 11B3
CEF1	110F 1165 11B4
CEF2	110F 1165 11B5
CEF3	110F 1165 11B6
CEF4	110F 1165 11B7
CEF5	110F 1165 11B8
CEF6	110F 1165 11B9
CEF7	110F 1165 11BA
CEF8	110F 1165 11BB
CEF9	110F 1165 11BC
CEFA	110F 1165 11BD
CEFB	110F 1165 11BE
CEFC	110F 1165 11BF
CEFD	110F 1165 11C0
CEFE	110F 1165 11C1
CEFF	110F 1165 11C2
CF00	110F 1166
CF01	110F 1166 11A8
CF02	110F 1166 11A9
CF03	110F 1166 11AA
CF04	110F 1166 11AB
CF05	110F 1166 11AC
CF06	110F 1166 11AD
CF07	110F 1166 11AE
CF08	110F 1166 11AF
CF09	110F 1166 11B0
CF0A	110F 1166 11B1
CF0B	110F 1166 11B2
CF0C	110F 1166 11B3
CF0D	110F 1166 11B4
CF0E	110F 1166 11B5
CF0F	110F 1166 11B6
CF10	110F 1166 11B7
CF11	110F 1166 11B8
CF12	110F 1166 11B9
CF13	110F 1166 11BA
CF14	110F 1166 11BB
CF15	110F 1166 11BC
CF16	110F 1166 11BD
CF17	110F 1166 11BE
CF18	110F 1166 11BF
CF19	110F 1166 11C0
CF1A	110F 1166 11C1
CF1B	110F 1166 11C2
CF1C	110F 1167
CF1D	110F 1167 11A8
CF1E	110F 1167 11A9
CF1F	110F 1167 11AA
CF20	110F 1167 11AB
CF21	110F 1167 11AC
CF22	110F 1167 11AD
CF23	110F 1167 11AE
CF24	110F 1167 11AF
CF25	110F 1167 11B0
CF26	110F 1167 11B1
CF27	110F 1167 11B2
CF28	110F 1167 11B3
CF29	110F 1167 11B4
CF2A	110F 1167 11B5
CF2B	110F 1167 11B6
CF2C	110F 1167 11B7
CF2D	110F 1167 11B8
CF2E	110F 1167 11B9
CF2F	110F 1167 11BA
CF30	110F 1167 11BB
CF31	110F 1167 11BC
CF32	110F 1167 11BD
CF33	110F 1167 11BE
CF34	110F 1167 11BF
CF35	110F 1167 11C0
CF36	110F 1167 11C1
CF37	110F 1167 11C2
CF38	110F 1168
CF39	110F 1168 11A8
CF3A	110F 1168 11A9
CF3B	110F 1168 11AA
CF3C	110F 1168 11AB
CF3D	110F 1168 11AC
CF3E	110F 1168 11AD
CF3F	110F 1168 11AE
CF40	110F 1168 11AF
CF41	110F 1168 11B0
CF42	110F 1168 11B1
CF43	110F 1168 11B2
CF44	110F 1168 11B3
CF45	110F 1168 11B4
CF46	110F 1168 11B5
CF47	110F 1168 11B6
CF48	110F 1168 11B7
CF49	110F 1168 11B8
CF4A	110F 1168 11B9
CF4B	110F 1168 11BA
CF4C	110F 1168 11BB
CF4D	110F 1168 11BC
CF4E	110F 1168 11BD
CF4F	110F 1168 11BE
CF50	110F 1168 11BF
CF51	110F 1168 11C0
CF52	110F 1168 11C1
CF53	110F 1168 11C2
CF54	110F 1169
CF55	110F 1169 11A8
CF56	110F 1169 11A9
CF57	110F 1169 11AA
CF58	110F 1169 11AB
CF59	110F 1169 11AC
CF5A	110F 1169 11AD
CF5B	110F 1169 11AE
CF5C	110F 1169 11AF
CF5D	110F 1169 11B0
CF5E	110F 1169 11B1
CF5F	110F 1169 11B2
CF60	110F 1169 11B3
CF61	110F 1169 11B4
CF62	110F 1169 11B5
CF63	110F 1169 11B6
CF64	110F 1169 11B7
CF65	110F 1169 11B8
CF66	110F 1169 11B9
CF67	110F 1169 11BA
CF68	110F 1169 11BB
CF69	110F 1169 11BC
CF6A	110F 1169 11BD
CF6B	110F 1169 11BE
CF6C	110F 1169 11BF
CF6D	110F 1169 11C0
CF6E	110F 1169 11C1
CF6F	110F 1169 11C2
CF70	110F 116A
CF71	110F 116A 11A8
CF72	110F 116A 11A9
CF73	110F 116A 11AA
CF74	110F 116A 11AB
CF75	110F 116A 11AC
CF76	110F 116A 11AD
CF77	110F 116A 11AE
CF78	110F 116A 11AF
CF79	110F 116A 11B0
CF7A	110F 116A 11B1
CF7B	110F 116A 11B2
CF7C	110F 116A 11B3
CF7D	110F 116A 11B4
CF7E	110F 116A 11B5
CF7F	110F 116A 11B6
CF80	110F 116A 11B7
CF81	110F 116A 11B8
CF82	110F 116A 11B9
CF83	110F 116A 11BA
CF84	110F 116A 11BB
CF85	110F 116A 11BC
CF86	110F 116A 11BD
CF87	110F 116A 11BE
CF88	110F 116A 11BF
CF89	110F 116A 11C0
CF8A	110F 116A 11C1
CF8B	110F 116A 11C2
CF8C	110F 116B
CF8D	110F 116B 11A8
CF8E	110F 116B 11A9
CF8F	110F 116B 11AA
CF90	110F 116B 11AB
CF91	110F 116B 11AC
CF92	110F 116B 11AD
CF93	110F 116B 11AE
CF94	110F 116B 11AF
CF95	110F 116B 11B0
CF96	110F 116B 11B1
CF97	110F 116B 11B2
CF98	110F 116B 11B3
CF99	110F 116B 11B4
CF9A	110F 116B 11B5
CF9B	110F 116B 11B6
CF9C	110F 116B 11B7
CF9D	110F 116B 11B8
CF9E	110F 116B 11B9
CF9F	110F 116B 11BA
CFA0	110F 116B 11BB
CFA1	110F 116B 11BC
CFA2	110F 116B 11BD
CFA3	110F 116B 11BE
CFA4	110F 116B 11BF
CFA5	110F 116B 11C0
CFA6	110F 116B 11C1
CFA7	110F 116B 11C2
CFA8	110F 116C
CFA9	110F 116C 11A8
CFAA	110F 116C 11A9
CFAB	110F 116C 11AA
CFAC	110F 116C 11AB
CFAD	110F 116C 11AC
CFAE	110F 116C 11AD
CFAF	110F 116C 11AE
CFB0	110F 116C 11AF
CFB1	110F 116C 11B0
CFB2	110F 116C 11B1
CFB3	110F 116C 11B2
CFB4	110F 116C 11B3
CFB5	110F 116C 11B4
CFB6	110F 116C 11B5
CFB7	110F 116C 11B6
CFB8	110F 116C 11B7
CFB9	110F 116C 11B8
CFBA	110F 116C 11B9
CFBB	110F 116C 11BA
CFBC	110F 116C 11BB
CFBD	110F 116C 11BC
CFBE	110F 116C 11BD
CFBF	110F 116C 11BE
CFC0	110F 116C 11BF
CFC1	110F 116C 11C0
CFC2	110F 116C 11C1
CFC3	110F 116C 11C2
CFC4	110F 116D
CFC5	110F 116D 11A8
CFC6	110F 116D 11A9
CFC7	110F 116D 11AA
CFC8	110F 116D 11AB
CFC9	110F 116D 11AC
CFCA	110F 116D 11AD
CFCB	110F 116D 11AE
CFCC	110F 116D 11AF
CFCD	110F 116D 11B0
CFCE	110F 116D 11B1
CFCF	110F 116D 11B2
CFD0	110F 116D 11B3
CFD1	110F 116D 11B4
CFD2	110F 116D 11B5
CFD3	110F 116D 11B6
CFD4	110F 116D 11B7
CFD5	110F 116D 11B8
CFD6	110F 116D 11B9
CFD7	110F 116D 11BA
CFD8	110F 116D 11BB
CFD9	110F 116D 11BC
CFDA	110F 116D 11BD
CFDB	110F 116D 11BE
CFDC	110F 116D 11BF
CFDD	110F 116D 11C0
CFDE	110F 116D 11C1
CFDF	110F 116D 11C2
CFE0	110F 116E
CFE1	110F 116E 11A8
CFE2	110F 116E 11A9
CFE3	110F 116E 11AA
CFE4	110F 116E 11AB
CFE5	110F 116E 11AC
CFE6	110F 116E 11AD
CFE7	110F 116E 11AE
CFE8	110F 116E 11AF
CFE9	110F 116E 11B0
CFEA	110F 116E 11B1
CFEB	110F 116E 11B2
CFEC	110F 116E 11B3
CFED	110F 116E 11B4
CFEE	110F 116E 11B5
CFEF	110F 116E 11B6
CFF0	110F 116E 11B7
CFF1	110F 116E 11B8
CFF2	110F 116E 11B9
CFF3	110F 116E 11BA
CFF4	110F 116E 11BB
CFF5	110F 116E 11BC
CFF6	110F 116E 11BD
CFF7	110F 116E 11BE
CFF8	110F 116E 11BF
CFF9	110F 116E 11C0
CFFA	110F 116E 11C1
CFFB	110F 116E 11C2
CFFC	110F 116F
CFFD	110F 116F 11A8
CFFE	110F 116F 11A9
CFFF	110F 116F 11AA
D000	110F 116F 11AB
D001	110F 116F 11AC
D002	110F 116F 11AD
D003	110F 116F 11AE
D004	110F 116F 11AF
D005	110F 116F 11B0
D006	110F 116F 11B1
D007	110F 116F 11B2
D008	110F 116F 11B3
D009	110F 116F 11B4
D00A	110F 116F 11B5
D00B	110F 116F 11B6
D00C	110F 116F 11B7
D00D	110F 116F 11B8
D00E	110F 116F 11B9
D00F	110F 116F 11BA
D010	110F 116F 11BB
D011	110F 116F 11BC
D012	110F 116F 11BD
D013	110F 116F 11BE
D014	110F 116F 11BF
D015	110F 116F 11C0
D016	110F 116F 11C1
D017	110F 116F 11C2
D018	110F 1170
D019	110F 1170 11A8
D01A	110F 1170 11A9
D01B	110F 1170 11AA
D01C	110F 1170 11AB
D01D	110F 1170 11AC
D01E	110F 1170 11AD
D01F	110F 1170 11AE
D020	110F 1170 11AF
D021	110F 1170 11B0
D022	110F 1170 11B1
D023	110F 1170 11B2
D024	110F 1170 11B3
D025	110F 1170 11B4
D026	110F 1170 11B5
D027	110F 1170 11B6
D028	110F 1170 11B7
D029	110F 1170 11B8
D02A	110F 1170 11B9
D02B	110F 1170 11BA
D02C	110F 1170 11BB
D02D	110F 1170 11BC
D02E	110F 1170 11BD
D02F	110F 1170 11BE
D030	110F 1170 11BF
D031	110F 1170 11C0
D032	110F 1170 11C1
D033	110F 1170 11C2
D034	110F 1171
D035	110F 1171 11A8
D036	110F 1171 11A9
D037	110F 1171 11AA
D038	110F 1171 11AB
D039	110F 1171 11AC
D03A	110F 1171 11AD
D03B	110F 1171 11AE
D03C	110F 1171 11AF
D03D	110F 1171 11B0
D03E	110F 1171 11B1
D03F	110F 1171 11B2
D040	110F 1171 11B3
D041	110F 1171 11B4
D042	110F 1171 11B5
D043	110F 1171 11B6
D044	110F 1171 11B7
D045	110F 1171 11B8
D046	110F 1171 11B9
D047	110F 1171 11BA
D048	110F 1171 11BB
D049	110F 1171 11BC
D04A	110F 1171 11BD
D04B	110F 1171 11BE
D04C	110F 1171 11BF
D04D	110F 1171 11C0
D04E	110F 1171 11C1
D04F	110F 1171 11C2
D050	110F 1172
D051	110F 1172 11A8
D052	110F 1172 11A9
D053	110F 1172 11AA
D054	110F 1172 11AB
D055	110F 1172 11AC
D056	110F 1172 11AD
D057	110F 1172 11AE
D058	110F 1172 11AF
D059	110F 1172 11B0
D05A	110F 1172 11B1
D05B	110F 1172 11B2
D05C	110F 1172 11B3
D05D	110F 1172 11B4
D05E	110F 1172 11B5
D05F	110F 1172 11B6
D060	110F 1172 11B7
D061	110F 1172 11B8
D062	110F 1172 11B9
D063	110F 1172 11BA
D064	110F 1172 11BB
D065	110F 1172 11BC
D066	110F 1172 11BD
D067	110F 1172 11BE
D068	110F 1172 11BF
D069	110F 1172 11C0
D06A	110F 1172 11C1
D06B	110F 1172 11C2
D06C	110F 1173
D06D	110F 1173 11A8
D06E	110F 1173 11A9
D06F	110F 1173 11AA
D070	110F 1173 11AB
D071	110F 1173 11AC
D072	110F 1173 11AD
D073	110F 1173 11AE
D074	110F 1173 11AF
D075	110F 1173 11B0
D076	110F 1173 11B1
D077	110F 1173 11B2
D078	110F 1173 11B3
D079	110F 1173 11B4
D07A	110F 1173 11B5
D07B	110F 1173 11B6
D07C	110F 1173 11B7
D07D	110F 1173 11B8
D07E	110F 1173 11B9
D07F	110F 1173 11BA
D080	110F 1173 11BB
D081	110F 1173 11BC
D082	110F 1173 11BD
D083	110F 1173 11BE
D084	110F 1173 11BF
D085	110F 1173 11C0
D086	110F 1173 11C1
D087	110F 1173 11C2
D088	110F 1174
D089	110F 1174 11A8
D08A	110F 1174 11A9
D08B	110F 1174 11AA
D08C	110F 1174 11AB
D08D	110F 1174 11AC
D08E	110F 1174 11AD
D08F	110F 1174 11AE
D090	110F 1174 11AF
D091	110F 1174 11B0
D092	110F 1174 11B1
D093	110F 1174 11B2
D094	110F 1174 11B3
D095	110F 1174 11B4
D096	110F 1174 11B5
D097	110F 1174 11B6
D098	110F 1174 11B7
D099	110F 1174 11B8
D09A	110F 1174 11B9
D09B	110F 1174 11BA
D09C	110F 1174 11BB
D09D	110F 1174 11BC
D09E	110F 1174 11BD
D09F	110F 1174 11BE
D0A0	110F 1174 11BF
D0A1	110F 1174 11C0
D0A2	110F 1174 11C1
D0A3	110F 1174 11C2
D0A4	110F 1175
D0A5	110F 1175 11A8
D0A6	110F 1175 11A9
D0A7	110F 1175 11AA
D0A8	110F 1175 11AB
D0A9	110F 1175 11AC
D0AA	110F 1175 11AD
D0AB	110F 1175 11AE
D0AC	110F 1175 11AF
D0AD	110F 1175 11B0
D0AE	110F 1175 11B1
D0AF	110F 1175 11B2
D0B0	110F 1175 11B3
D0B1	110F 1175 11B4
D0B2	110F 1175 11B5
D0B3	110F 1175 11B6
D0B4	110F 1175 11B7
D0B5	110F 1175 11B8
D0B6	110F 1175 11B9
D0B7	110F 1175 11BA
D0B8	110F 1175 11BB
D0B9	110F 1175 11BC
D0BA	110F 1175 11BD
D0BB	110F 1175 11BE
D0BC	110F 1175 11BF
D0BD	110F 1175 11C0
D0BE	110F 1175 11C1
D0BF	110F 1175 11C2
D0C0	1110 1161
D0C1	1110 1161 11A8
D0C2	1110 1161 11A9
D0C3	1110 1161 11AA
D0C4	1110 1161 11AB
D0C5	1110 1161 11AC
D0C6	1110 1161 11AD
D0C7	1110 1161 11AE
D0C8	1110 1161 11AF
D0C9	1110 1161 11B0
D0CA	1110 1161 11B1
D0CB	1110 1161 11B2
D0CC	1110 1161 11B3
D0CD	1110 1161 11B4
D0CE	1110 1161 11B5
D0CF	1110 1161 11B6
D0D0	1110 1161 11B7
D0D1	1110 1161 11B8
D0D2	1110 1161 11B9
D0D3	1110 1161 11BA
D0D4	1110 1161 11BB
D0D5	1110 1161 11BC
D0D6	1110 1161 11BD
D0D7	1110 1161 11BE
D0D8	1110 1161 11BF
D0D9	1110 1161 11C0
D0DA	1110 1161 11C1
D0DB	1110 1161 11C2
D0DC	1110 1162
D0DD	1110 1162 11A8
D0DE	1110 1162 11A9
D0DF	1110 1162 11AA
D0E0	1110 1162 11AB
D0E1	1110 1162 11AC
D0E2	1110 1162 11AD
D0E3	1110 1162 11AE
D0E4	1110 1162 11AF
D0E5	1110 1162 11B0
D0E6	1110 1162 11B1
D0E7	1110 1162 11B2
D0E8	1110 1162 11B3
D0E9	1110 1162 11B4
D0EA	1110 1162 11B5
D0EB	1110 1162 11B6
D0EC	1110 1162 11B7
D0ED	1110 1162 11B8
D0EE	1110 1162 11B9
D0EF	1110 1162 11BA
D0F0	1110 1162 11BB
D0F1	1110 1162 11BC
D0F2	1110 1162 11BD
D0F3	1110 1162 11BE
D0F4	1110 1162 11BF
D0F5	1110 1162 11C0
D0F6	1110 1162 11C1
D0F7	1110 1162 11C2
D0F8	1110 1163
D0F9	1110 1163 11A8
D0FA	1110 1163 11A9
D0FB	1110 1163 11AA
D0FC	1110 1163 11AB
D0FD	1110 1163 11AC
D0FE	1110 1163 11AD
D0FF	1110 1163 11AE
D100	1110 1163 11AF
D101	1110 1163 11B0
D102	1110 1163 11B1
D103	1110 1163 11B2
D104	1110 1163 11B3
D105	1110 1163 11B4
D106	1110 1163 11B5
D107	1110 1163 11B6
D108	1110 1163 11B7
D109	1110 1163 11B8
D10A	1110 1163 11B9
D10B	1110 1163 11BA
D10C	1110 1163 11BB
D10D	1110 1163 11BC
D10E	1110 1163 11BD
D10F	1110 1163 11BE
D110	1110 1163 11BF
D111	1110 1163 11C0
D112	1110 1163 11C1
D113	1110 1163 11C2
D114	1110 1164
D115	1110 1164 11A8
D116	1110 1164 11A9
D117	1110 1164 11AA
D118	1110 1164 11AB
D119	1110 1164 11AC
D11A	1110 1164 11AD
D11B	1110 1164 11AE
D11C	1110 1164 11AF
D11D	1110 1164 11B0
D11E	1110 1164 11B1
D11F	1110 1164 11B2
D120	1110 1164 11B3
D121	1110 1164 11B4
D122	1110 1164 11B5
D123	1110 1164 11B6
D124	1110 1164 11B7
D125	1110 1164 11B8
D126	1110 1164 11B9
D127	1110 1164 11BA
D128	1110 1164 11BB
D129	1110 1164 11BC
D12A	1110 1164 11BD
D12B	1110 1164 11BE
D12C	1110 1164 11BF
D12D	1110 1164 11C0
D12E	1110 1164 11C1
D12F	1110 1164 11C2
D130	1110 1165
D131	1110 1165 11A8
D132	1110 1165 11A9
D133	1110 1165 11AA
D134	1110 1165 11AB
D135	1110 1165 11AC
D136	1110 1165 11AD
D137	1110 1165 11AE
D138	1110 1165 11AF
D139	1110 1165 11B0
D13A	1110 1165 11B1
D13B	1110 1165 11B2
D13C	1110 1165 11B3
D13D	1110 1165 11B4
D13E	1110 1165 11B5
D13F	1110 1165 11B6
D140	1110 1165 11B7
D141	1110 1165 11B8
D142	1110 1165 11B9
D143	1110 1165 11BA
D144	1110 1165 11BB
D145	1110 1165 11BC
D146	1110 1165 11BD
D147	1110 1165 11BE
D148	1110 1165 11BF
D149	1110 1165 11C0
D14A	1110 1165 11C1
D14B	1110 1165 11C2
D14C	1110 1166
D14D	1110 1166 11A8
D14E	1110 1166 11A9
D14F	1110 1166 11AA
D150	1110 1166 11AB
D151	1110 1166 11AC
D152	1110 1166 11AD
D153	1110 1166 11AE
D154	1110 1166 11AF
D155	1110 1166 11B0
D156	1110 1166 11B1
D157	1110 1166 11B2
D158	1110 1166 11B3
D159	1110 1166 11B4
D15A	1110 1166 11B5
D15B	1110 1166 11B6
D15C	1110 1166 11B7
D15D	1110 1166 11B8
D15E	1110 1166 11B9
D15F	1110 1166 11BA
D160	1110 1166 11BB
D161	1110 1166 11BC
D162	1110 1166 11BD
D163	1110 1166 11BE
D164	1110 1166 11BF
D165	1110 1166 11C0
D166	1110 1166 11C1
D167	1110 1166 11C2
D168	1110 1167
D169	1110 1167 11A8
D16A	1110 1167 11A9
